temp;Cons;Hourinweek;Time
9;12886;166;30.09.2018 21:39
9;12277;167;30.09.2018 22:39
9;11360;168;30.09.2018 23:39
8;10404;1;01.10.2018 0:39
8;9735;2;01.10.2018 1:39
8;9337;3;01.10.2018 2:39
8;9073;4;01.10.2018 3:39
8;9052;5;01.10.2018 4:39
7;9209;6;01.10.2018 5:39
7;10010;7;01.10.2018 6:39
7;10911;8;01.10.2018 7:39
8;11964;9;01.10.2018 8:39
8;13053;10;01.10.2018 9:39
9;13636;11;01.10.2018 10:39
10;13582;12;01.10.2018 11:39
12;13296;13;01.10.2018 12:39
13;13189;14;01.10.2018 13:39
15;13117;15;01.10.2018 14:39
14;13049;16;01.10.2018 15:39
13;12948;17;01.10.2018 16:39
13;12792;18;01.10.2018 17:39
11;13026;19;01.10.2018 18:39
10;13986;20;01.10.2018 19:39
9;13820;21;01.10.2018 20:39
8;13385;22;01.10.2018 21:39
8;12636;23;01.10.2018 22:39
6;11490;24;01.10.2018 23:39
7;10482;25;02.10.2018 0:39
6;9848;26;02.10.2018 1:39
6;9443;27;02.10.2018 2:39
6;9222;28;02.10.2018 3:39
6;9183;29;02.10.2018 4:39
5;9407;30;02.10.2018 5:39
6;10116;31;02.10.2018 6:39
7;11061;32;02.10.2018 7:39
8;11994;33;02.10.2018 8:39
9;12831;34;02.10.2018 9:39
10;13258;35;02.10.2018 10:39
12;13233;36;02.10.2018 11:39
13;12974;37;02.10.2018 12:39
13;13123;38;02.10.2018 13:39
12;13380;39;02.10.2018 14:39
10;13424;40;02.10.2018 15:39
9;13452;41;02.10.2018 16:39
9;13209;42;02.10.2018 17:39
8;13380;43;02.10.2018 18:39
8;14109;44;02.10.2018 19:39
9;13936;45;02.10.2018 20:39
9;13446;46;02.10.2018 21:39
9;12744;47;02.10.2018 22:39
9;11603;48;02.10.2018 23:39
9;10621;49;03.10.2018 0:39
9;9900;50;03.10.2018 1:39
9;9510;51;03.10.2018 2:39
9;9324;52;03.10.2018 3:39
9;9262;53;03.10.2018 4:39
10;9396;54;03.10.2018 5:39
10;10094;55;03.10.2018 6:39
9;11033;56;03.10.2018 7:39
10;12110;57;03.10.2018 8:39
